Building_Age,JS_Price,JS_BA,Population,UR,LC_index,CA_index,TC_index,SDT_index,HSP_index,Sell_Price,Crime_Rates,IR,Region_Name,Building_Use,YearMonth,Shortest_Distance_to_Subway,Shortest_Distance_to_School,Shortest_Distance_to_Univ
20,50000,129.45,553927,3,76.4,82.8,80.6,112.5114574,73.9,74800,1.162689447,2.5,강남구,아파트,201305,298.3017531,104.4730634,4132.235994
6,18000,84.97,479088,3.3,72.6,79.3,76.1,113.8068008,80,35672.22,1.464788556,3.25,성북구,아파트,201106,630.0354417,236.3685719,423.2699897
34,36000,84.43,553927,3.9,75.7,82.4,79.9,110.3919781,72.7,79407.14,1.167381287,2.75,강남구,아파트,201302,540.6147552,335.4970315,3726.633606
22,22000,59.4,512274,4,105.6,103.4,102.7,109.7212165,170.8,53700,0.665118284,0.5,노원구,아파트,202104,406.3991442,144.6797032,2444.802143
13,36500,84.99,395233,4.2,85.8,91,88.6,114.8479428,84.5,59133.33,0.780888911,1.5,동작구,아파트,201603,471.0153137,523.4502732,696.632861
9,43500,133.03,489072,2.7,78,84.3,81.7,120.4399633,74.7,46900,1.414973259,2.5,양천구,아파트,201310,901.6453818,293.5859364,1991.055918
5,63000,49.29,657101,3.1,109.3,108.7,112.9,67.89542484,146.2,166370,1.360279679,3.5,송파구,아파트,202302,678.3043031,266.6278349,3229.946373
15,84000,74.3,411435,4.3,104.9,102.3,102.2,119.4605358,169.3,229800,0.878493489,0.5,서초구,아파트,202103,1001.942789,150.52598,1185.060474
14,31000,59.96,292786,3.5,79.9,86.1,83.7,109.8478066,75.7,44440,1.178712104,2.5,성동구,아파트,201406,133.0685273,194.803518,1791.530426
5,43000,59.92,455617,3,85.4,90.8,87.6,123.1663685,84.8,57000,0.884657978,1.5,성북구,아파트,201511,581.0346296,459.6513149,1344.858592
4,42000,84.79,669058,3.1,74.5,81.5,78.5,102.461258,74.2,80166.67,0.861597657,3,송파구,아파트,201207,216.6021878,212.7736804,2197.56559
23,54000,131.76,674828,3.3,72.7,79.5,76.5,114.0991058,80.1,96791.67,0.920460522,3.25,송파구,아파트,201107,558.2360098,228.8627707,528.6084446
34,30000,76.5,669058,2.8,74.7,81.3,79,109.2980857,73.1,93050,1.153747082,2.75,송파구,아파트,201210,455.0219701,140.1705146,3229.603692
28,29000,128.16,486546,3.3,72.6,79.3,76.1,114.1995697,80,58800,0.907857776,3.25,강동구,아파트,201106,515.8674501,140.3207364,3956.77286
31,23000,67.41,360631,4,94.4,98.6,95.2,93.91171994,115,33700,1.446977205,1.5,영등포구,아파트,201808,402.939519,126.8033541,2381.430818
4,47000,84.83,674828,3.7,72.5,78.4,75.3,114.3670502,81.2,119364.29,1.140892267,3,송파구,아파트,201104,536.9477001,24.17646321,3817.518298
0,65000,84.98,656198,3.4,94.7,98.6,96.5,87.29071537,119.1,239394,0.862203362,1.75,송파구,아파트,201812,678.3043031,266.6278349,3229.946373
28,40000,49.5,525570,2.7,107.1,104.3,104.5,119.8385236,187.8,117200,1.142804016,0.75,강남구,아파트,202109,566.1904268,178.1196769,5449.829073
33,33000,105.47,431841,2.6,78.3,84.5,82.1,119.3858845,74.5,80375,1.162348032,2.5,서초구,아파트,201311,750.7969416,467.7328905,532.4032672
9,75000,59.99,285433,4.3,104.9,102.3,102.2,119.4605358,169.3,133000,0.721626941,0.5,성동구,아파트,202103,412.3052305,232.5418217,2142.357847
5,10522,59.98,410609,4.5,82.5,88.1,85.4,116.8157424,78.6,37820,1.240504515,2,중랑구,아파트,201502,504.9848356,545.9498235,2066.852399
13,28000,72.85,479183,3.9,75.7,82.4,79.9,110.3919781,72.7,37555,0.909230649,2.75,강동구,아파트,201302,291.4342122,368.7233873,1956.48437
7,72000,84.8,654241,3.8,83.9,88.2,86.2,119.8121646,81.4,90628,1.015461137,1.5,송파구,아파트,201506,629.175924,105.5784655,3314.878382
33,30500,54.94,450971,3.1,100.4,99.3,100.2,120.7096307,151.9,118250,0.702519327,0.5,양천구,아파트,202008,575.7047705,258.2351642,2396.840911
5,33000,134.96,493515,4.5,79.2,85.6,82.7,121.038496,75.7,45340,1.079200307,2.5,은평구,아파트,201402,411.8265622,153.5642678,3852.306333
17,60000,84.96,432206,3.6,101.1,100,100.5,119.3338161,154,109500,0.574200995,0.5,성북구,아파트,202009,344.5426953,221.9494727,1174.43707
29,45000,66.48,317794,2.6,107.2,104.1,104.1,121.2514418,185,100100,0.582391123,0.75,도봉구,아파트,202108,482.6526028,155.0298925,1383.298883
27,26000,49.5,587369,3.1,96.3,100.2,98.5,95.90196078,125.2,41160,0.823035638,1.5,강서구,아파트,201909,1974.987785,332.061046,1874.04797
10,140000,131.16,419614,4,99.6,98.8,100,117.4511224,147.2,208750,1.072431676,0.5,서초구,아파트,202007,1278.661972,461.5394259,723.3810925
12,20000,59.95,163975,3.7,72.5,78.4,75.3,114.4415894,81.2,31000,1.528329372,3,종로구,아파트,201104,134.2350488,195.6562955,1012.357735
14,10000,26.4,337404,4,94.4,98.6,95.2,93.91171994,115,13125,0.65827794,1.5,도봉구,오피스텔,201808,421.0131124,177.7722983,2837.401252
12,19000,59.96,313144,3.2,72.6,78.9,75.8,114.1897659,80.6,28566.67,1.028946877,3,서대문구,아파트,201105,750.7578067,190.8483264,442.6610085
18,71200,126.97,317794,4,105.6,103.4,102.7,109.7212165,170.8,84700,0.582391123,0.5,도봉구,아파트,202104,473.4400946,199.4178674,2762.884764
0,24000,24.15,456069,2.7,107.1,104.3,104.5,119.8385236,187.8,31287.5,0.741309232,0.75,강동구,오피스텔,202109,776.7501911,463.0382363,1987.464266
29,32000,59.96,387858,3.6,101.1,100,100.5,119.3338161,154,71500,0.796868308,0.5,동작구,아파트,202009,144.0866164,143.0765548,411.3630374
36,70000,76.38,522782,3,107.9,107.5,108.1,93.59861592,183.2,217000,0.921741784,1.5,강남구,아파트,202204,723.0142018,112.3150785,1859.627233
37,30000,81.75,654241,3.1,85.2,90.7,87.4,122.7862254,84.4,120959.09,1.015461137,1.5,송파구,아파트,201510,455.0219701,140.1705146,3229.603692
12,11500,43.11,471766,3,76.4,82.8,80.6,112.5114574,73.9,24050,1.135058641,2.5,성북구,아파트,201305,1948.731479,247.2723461,942.9122223
33,75000,141.53,439276,3,81.4,86.6,84.9,115.7564906,77.5,60000,1.223452964,2,서초구,아파트,201411,185.9623499,278.5499858,1430.898521
13,16000,59.91,356181,3,76.4,82.8,80.6,112.5114574,73.9,22800,1.413273096,2.5,도봉구,아파트,201305,658.1376728,351.4761965,2201.217368
35,42000,83.52,441732,3.1,100.4,99.3,100.2,120.7096307,151.9,115000,0.816382829,0.5,강동구,아파트,202008,125.3668351,216.5855751,3597.916229
17,108000,97.35,549396,3.2,92.8,97,92.8,103.1332745,99.4,133242.86,1.37598654,1.25,강남구,아파트,201710,422.7577815,109.6633072,3324.830553
11,109000,84.94,419614,3.4,102.6,101.3,100.8,128.8196959,158.1,326083.33,1.072431676,0.5,서초구,아파트,202011,733.542006,80.48711125,1061.666228
3,26000,84.73,471766,3.1,76.8,83.2,80.8,111.1824015,73.5,33266.67,0.901406586,2.5,성북구,아파트,201306,935.2131273,193.6654707,440.8339284
10,38000,59.99,376341,3.6,86.4,91.7,89,115.2504472,85.5,54300,1.502480256,1.5,마포구,아파트,201605,681.9254334,120.9781414,1803.144825
7,60000,84.94,458953,3.1,109.3,108.7,112.9,67.89542484,146.2,120625,0.825555205,3.5,강동구,아파트,202302,874.7530595,237.3672619,3943.018967
2,32000,84.78,475852,3.2,74.5,81.1,78.3,112.2153473,75.2,63000,1.218670607,3.25,성북구,아파트,201206,581.0346296,459.6513149,1344.858592
19,60000,114.37,380622,3.399407148,102.5806274,101.2982788,100.8419571,128.8428955,158.0600739,110000,0.962367475,3.5,동작구,아파트,202308,251.3220251,367.7940429,390.10621
31,19000,59.39,532511,4.7,95,98.7,96.9,69.88235294,117.1,26650,0.772934452,1.75,노원구,아파트,201902,1190.128137,236.2142853,2414.456119
33,70000,100.31,655395,3.2,107.1,104,103.7,119.982699,181.7,258625,0.709977183,0.5,송파구,아파트,202107,558.2360098,228.8627707,528.6084446
10,25000,59.99,497056,4.2,90.8,95.6,91.3,107.678729,92,43750,1.060605188,1.25,관악구,아파트,201704,2747.39592,207.3620186,3659.075492
0,10000,14.86,337404,4.5,93.9,98,94.1,94.7869102,106.1,13153.5,0.65827794,1.5,도봉구,아파트,201803,400.1664645,357.4374443,2680.945707
27,45000,59.04,571614,2.8,107.1,104.8,105.2,108.2660515,188.5,66000,0.671992935,0.75,강서구,아파트,202110,540.9751877,141.8800124,3891.556968
14,22000,59.89,402763,3.1,76.8,83.2,80.8,111.1824015,73.5,38400,1.4150877,2.5,동작구,아파트,201306,471.1793082,200.7986173,473.1876975
6,30000,59.94,125273,3.8,79.6,86,83.4,114.3688451,76,55406.67,3.839914261,2.5,중구,아파트,201404,604.0598629,457.7140664,1629.373539
