Year,Month,Region_Name,Region_Code,Building_Use,Sell_Price,Sell_BA,Sell_PPA,Sell_PPP,Sell_Count,JS_Price,JS_BA,JS_PPA,JS_PPP,JS_Count,CR,BA_CR,PPA_CR,IR,UR,LC_index,CA_index,TC_index,SDT_index
2012,7,중구,11140,오피스텔,16807.14,31.54,543.67,164.46,14,9450.0,32.61,298.7,90.36,10,56.23,103.39,54.94,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,중랑구,11260,단독다가구,49265.91,181.0,298.56,90.31,22,7329.71,55.62,143.18,43.31,284,14.88,30.73,47.96,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,중랑구,11260,아파트,26178.48,67.18,396.42,119.92,66,17922.86,72.56,252.56,76.4,218,68.46,108.01,63.71,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,중랑구,11260,연립다세대,16576.15,46.26,376.28,113.82,65,10515.52,47.31,245.73,74.33,87,63.44,102.27,65.31,3.0,3.1,74.5,81.5,78.5,102.461258
2012,7,중랑구,11260,오피스텔,12933.33,36.07,347.91,105.24,3,9611.11,42.4,227.17,68.72,9,74.31,117.55,65.3,3.0,3.1,74.5,81.5,78.5,102.461258
2012,8,강남구,11680,단독다가구,213750.0,343.77,699.02,211.45,7,13108.94,72.89,214.05,64.75,161,6.13,21.2,30.62,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,강남구,11680,아파트,85635.66,90.13,954.25,288.66,134,38399.16,82.73,456.15,137.98,834,44.84,91.79,47.8,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,강남구,11680,연립다세대,37970.71,55.93,690.5,208.88,35,16420.26,50.91,335.46,101.48,153,43.24,91.02,48.58,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,강남구,11680,오피스텔,27467.83,41.29,633.85,191.74,48,20750.0,48.67,405.27,122.59,14,75.54,117.87,63.94,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,강동구,11740,단독다가구,83278.07,277.68,307.12,92.91,14,8179.26,54.69,170.31,51.52,270,9.82,19.7,55.45,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,강동구,11740,아파트,40343.38,75.05,561.8,169.94,133,22027.0,74.63,292.99,88.63,549,54.6,99.44,52.15,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,강동구,11740,연립다세대,24988.33,54.63,451.84,136.68,30,13671.74,48.44,306.58,92.74,184,54.71,88.67,67.85,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,강동구,11740,오피스텔,17191.64,34.16,521.76,157.83,11,10433.33,34.38,307.98,93.16,21,60.69,100.64,59.03,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,강북구,11305,단독다가구,43348.23,168.95,310.68,93.98,22,6699.76,47.19,146.38,44.28,210,15.46,27.93,47.12,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,강북구,11305,아파트,31025.49,80.55,395.09,119.52,51,18586.82,76.07,246.96,74.71,216,59.91,94.44,62.51,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,강북구,11305,연립다세대,15830.0,50.66,316.23,95.66,95,8822.36,48.77,185.59,56.14,161,55.73,96.27,58.69,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,강북구,11305,오피스텔,10625.0,29.4,366.53,110.88,2,7800.0,35.23,222.23,67.23,5,73.41,119.83,60.63,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,강서구,11500,단독다가구,60542.86,206.22,330.21,99.89,7,7256.97,61.62,126.77,38.35,159,11.99,29.88,38.39,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,강서구,11500,아파트,30258.62,70.57,428.76,129.7,117,19471.5,71.8,277.79,84.03,531,64.35,101.74,64.79,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,강서구,11500,연립다세대,15729.53,51.41,309.98,93.77,127,10137.45,49.4,213.48,64.58,271,64.45,96.09,68.87,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,강서구,11500,오피스텔,12384.78,35.98,343.59,103.94,23,10164.0,34.7,307.4,92.99,25,82.07,96.44,89.47,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,관악구,11620,단독다가구,60225.0,179.05,414.42,125.36,8,8410.89,46.71,197.03,59.6,303,13.97,26.09,47.54,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,관악구,11620,아파트,25065.32,54.06,596.43,180.42,91,22183.56,75.91,303.71,91.87,298,88.5,140.42,50.92,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,관악구,11620,연립다세대,18160.81,53.03,349.48,105.72,74,11582.5,50.5,241.25,72.98,200,63.78,95.23,69.03,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,관악구,11620,오피스텔,13674.62,25.24,543.62,164.45,13,7535.29,28.71,340.04,102.86,51,55.1,113.75,62.55,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,광진구,11215,단독다가구,55763.64,157.47,415.25,125.61,11,9108.63,44.62,222.12,67.19,342,16.33,28.34,53.49,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,광진구,11215,아파트,50917.18,82.45,611.71,185.04,45,32040.79,85.72,377.3,114.13,228,62.93,103.97,61.68,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,광진구,11215,연립다세대,17474.72,39.15,485.9,146.99,89,13580.12,49.18,301.98,91.35,171,77.71,125.62,62.15,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,광진구,11215,오피스텔,25163.94,79.49,332.64,100.62,34,14600.0,40.08,382.2,115.62,12,58.02,50.42,114.9,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,구로구,11530,단독다가구,35561.11,193.85,193.39,58.5,9,6042.18,52.26,126.94,38.4,147,16.99,26.96,65.64,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,구로구,11530,아파트,28220.05,66.07,470.46,142.31,108,19230.72,70.78,279.05,84.41,418,68.15,107.13,59.31,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,구로구,11530,연립다세대,17381.0,53.6,333.79,100.97,50,8766.39,50.69,179.73,54.37,122,50.44,94.57,53.85,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,구로구,11530,오피스텔,10614.67,31.34,346.65,104.86,75,13216.95,46.5,325.31,98.41,59,124.52,148.37,93.84,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,금천구,11545,단독다가구,51826.67,260.49,197.51,59.75,3,6063.87,47.61,136.77,41.37,191,11.7,18.28,69.25,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,금천구,11545,아파트,26804.89,75.83,358.24,108.37,45,15528.17,71.59,219.75,66.47,142,57.93,94.41,61.34,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,금천구,11545,연립다세대,15946.88,50.7,330.22,99.89,48,10483.33,49.74,232.75,70.41,84,65.74,98.11,70.48,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,금천구,11545,오피스텔,10225.0,32.21,350.26,105.95,4,8138.1,33.33,264.08,79.88,21,79.59,103.48,75.4,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,노원구,11350,단독다가구,38766.67,127.8,333.2,100.79,12,6645.92,48.93,146.33,44.26,98,17.14,38.29,43.92,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,노원구,11350,아파트,23834.67,59.81,402.12,121.64,238,15441.16,63.49,242.52,73.36,802,64.78,106.15,60.31,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,노원구,11350,연립다세대,12946.97,37.05,444.31,134.41,33,9590.62,47.57,220.96,66.84,64,74.08,128.39,49.73,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,노원구,11350,오피스텔,12440.0,35.02,356.61,107.87,5,9857.14,38.91,255.54,77.3,14,79.24,111.11,71.66,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,도봉구,11320,단독다가구,45125.0,178.03,285.35,86.32,12,6222.38,58.67,120.57,36.47,143,13.79,32.96,42.25,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,도봉구,11320,아파트,23435.29,67.26,347.97,105.26,121,15736.76,70.9,222.71,67.37,321,67.15,105.41,64.0,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,도봉구,11320,연립다세대,13511.86,42.03,360.26,108.98,118,8484.62,47.87,181.69,54.96,104,62.79,113.89,50.43,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,도봉구,11320,오피스텔,16357.14,48.6,349.01,105.57,7,13250.0,61.72,216.87,65.6,10,81.0,127.0,62.14,3.0,3.0,74.5,81.1,78.6,101.6864175
2012,8,동대문구,11230,단독다가구,39077.08,118.16,395.82,119.74,24,7588.52,48.6,172.66,52.23,209,19.42,41.13,43.62,3.0,3.0,74.5,81.1,78.6,101.6864175
