"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2004","양천구","계",491030,23956,33447,40355.5,37463,41772,38074.5,42530,44406,51088,45381,29496,20717,15226,10682.5,7256,4787.5,2795,1165.5,360.5,59.5,11.5
"2004","강서구","계",539337,28624.5,32271,36310,37033.5,48763.5,50456.5,54804,45742.5,49194,47187.5,32674,25057,18642.5,12820,8513,5718,3528,1461.5,432.5,91,12.5
"2004","구로구","계",414836.5,23368.5,25510,25020.5,24293,37091.5,40729,44870.5,36564.5,35237.5,33678,26286,21238.5,16743.5,10813.5,6072,3723.5,2267,977.5,287.5,54.5,10
"2004","금천구","계",260428.5,13513.5,16590,17149,15926,22525.5,24218,26982.5,24693.5,24066.5,21054,15467.5,12605,10485.5,6696.5,3936.5,2274.5,1437.5,578,188.5,33,7.5
"2004","영등포구","계",404794,22182,24112.5,23508.5,22631.5,34055.5,40565,46081,36604.5,34062.5,31913.5,24149.5,20326,17175,12147.5,7028,4227,2568.5,1044,340,65.5,6.5
"2004","동작구","계",410652.5,21281.5,23075,22536,22584.5,36908.5,46329.5,47383,34234.5,31870,30475.5,24222.5,21742.5,18864.5,12844,7457.5,4462,2701.5,1202.5,388.5,78,11
"2004","관악구","계",526306,26568.5,27932,26942,26995,51141,68945.5,65040.5,44001,39147.5,36915.5,30571.5,27497.5,23231,14441,7846.5,4506,2808,1242.5,428,89,16.5
"2004","서초구","계",397812.5,17223.5,21104.5,26520.5,27792.5,36834,41334,40429,31839,33851.5,34613,26556,21736.5,14883,8986.5,5603,4025.5,2667,1254,465,79.5,15
"2004","강남구","계",530247,20435,26619.5,37573.5,41488.5,50387,55518,51140,40524,47681.5,49588.5,35404.5,27055,17734,10683,7000,5283,3702,1732.5,573.5,105,19
"2004","송파구","계",611903.5,29801.5,37359,44030.5,44454,56156,57130.5,59770,52251.5,56723,54821.5,38456,28242.5,19715.5,12905,8456.5,5691,3681.5,1627.5,525.5,91.5,13.5
"2004","강동구","계",474187.5,22711,28648,34361.5,35668.5,44058,41221,42691.5,39775,46188,44814,30705,22111.5,15188,10017,6649.5,4707.5,2964.5,1212.5,398.5,86,11
"2005","서울특별시","계",10170253,482389,586372,661779.5,634565,849113.5,978564.5,1039497,904030.5,871351,861981,645293.5,521987.5,422661.5,301682,184784.5,114869.5,67952.5,29562,9597,1892.5,327.5
"2005","종로구","계",171843.5,6150.5,8726.5,11191.5,10682.5,13836,15495.5,16035.5,14691,15141.5,14347.5,10684,9190.5,8816.5,6962.5,4384,2767.5,1688.5,742,245,54,11
"2005","중구","계",130999,5647,6556.5,7069,6782,10419.5,12460.5,13656,11884.5,10674,10589,8291,7430,6885.5,5260,3221,2168.5,1302,491.5,162.5,40.5,8.5
"2005","용산구","계",230183.5,10408.5,12124,12762,11888.5,17717.5,21828,24742,21226,19053,18210,13800.5,12331,11677.5,9456,6024.5,3673,2046,850,292,63.5,10
"2005","성동구","계",338428.5,17722.5,19824,19796,18013.5,27280.5,33556.5,38098,32638.5,28228.5,26377.5,19888,16959,14992,11114,6687,3800.5,2165,933,275,65,14.5
"2005","광진구","계",378075,17841,22558,25081.5,23342,32568,40916.5,40335,34872,32953,31125.5,22296,17542.5,14066.5,9926,5719,3526.5,2153,876,313,51,13
"2005","동대문구","계",380257,16717.5,20561.5,22289.5,21349,33605,37900,37663,33152,30641,30809,24606.5,21107,18901.5,13782.5,8175.5,4843.5,2591,1138.5,346,59,18.5
