호선,역명,구주소,도로명주소,위도,경도,Region_Name
2호선,영등포구청,서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선),서울특별시 영등포구 당산로 지하121(당산동3가),37.5265942,126.8984636,영등포구
2호선,당산,서울특별시 영등포구 당산동 6가 323-1 당산역(2호선),서울특별시 영등포구 당산로 229(당산동6가),37.5346602,126.9028802,영등포구
2호선,합정,서울특별시 마포구 서교동 393 합정역(2호선),서울특별시 마포구 양화로 지하55(서교동),37.554252,126.920258,마포구
2호선,홍대입구,서울특별시 마포구 동교동 165 홍대입구역(2호선),서울특별시 마포구 양화로 지하160(동교동),37.5563194,126.9224078,마포구
2호선,신촌(지하),서울특별시 마포구 노고산동 31-11 신촌역(2호선),서울특별시 마포구 신촌로 지하90(노고산동),37.5543865,126.9377806,마포구
2호선,이대,서울특별시 마포구 염리동 8-85 이대역(2호선),서울특별시 마포구 신촌로 지하180(염리동),37.5469511,126.9438905,마포구
2호선,아현,서울특별시 마포구 아현동 354-23 아현역(2호선),서울특별시 마포구 신촌로 지하270(아현동),37.5543934,126.9568563,마포구
2호선,충정로(경기대입구),서울특별시 서대문구 충정로3가 319-1 충정로역(2호선),서울특별시 서대문구 서소문로 지하17(충정로3가),37.5634497,126.9611328,서대문구
2호선,용답,서울특별시 성동구 용답동 127 용답역(2호선),서울특별시 성동구 용답길 86(용답동),37.5669045,127.0496653,성동구
2호선,신답,서울특별시 성동구 용답동 129-2 신답역(2호선),서울특별시 성동구 천호대로 232(용답동),37.5706952,127.0454382,성동구
2호선,신설동,서울특별시 동대문구 신설동 76-5 신설동역(2호선),서울특별시 동대문구 왕산로 지하 1(신설동),37.578486,127.0270996,동대문구
2호선,도림천,서울특별시 구로구 신도림동 323-16 도림천역(2호선),서울특별시 구로구 경인로67길 160(신도림동),37.5142835,126.8829718,구로구
2호선,양천구청,서울특별시 양천구 신정동 276-7 양천구청역(2호선),서울특별시 양천구 목동로3길 지하33(신정동),37.5113363,126.8630691,양천구
2호선,신정네거리,서울특별시 양천구 신정동 1231 신정네거리역(2호선),서울특별시 양천구 중앙로 지하261(신정동),37.5195255,126.8528661,양천구
2호선,용두(동대문구청),서울특별시 동대문구 용두동 47-1 용두역(2호선),서울특별시 동대문구 천호대로 지하129(용두동),37.5723955,127.0340943,동대문구
